Municipality,Number_of_vegetation_plots,Vegetation_area_KM2,Municipality_area_KM2,Vegetation_cover_%,HDIM_2010,Child_mortality_2017,GDP_cap_2018,Sewage_2010_%,S_Species_richness,PD_Phylogenetic__richness,FD_Functional_richness,Temporary_crop_revenue,Permanent_crop_revenue,Predicted_S,Future_S,Predicted_FD,Future_FD,Predicted_PD,Future_PD,Prediceted_Permanent_crop_revenue,Future_Permanent_crop_revenue,Predicted_Temporary_crop_revenue,Future_Temporary_crop_revenue
Barra Bonita,2,22.99422692,92.561,24.84224125,701,41.67,20724.12,12.5,40,2999.78565,0.103918308,2.653567953,3.916800977,38.05450407,40.19812665,0.118189381,0.102081406,3159.863467,2851.656197,7.094759597,7.145062277,2.701795133,2.618750582
Bela Vista do Toldo,3,251.120024,535.682,46.87856302,675,12.82,23763.33,27.8,35.33333333,2553.524133,0.042516628,5.316825937,3.945477411,33.11781248,35.52657343,0.067016377,0.069234901,2676.899953,2777.984757,3.912574934,3.905278056,4.774889328,4.920219918
Benedito Novo,3,257.9995439,388.291,66.44489414,740,9.8,26235.82,77.8,50,3350.299267,0.063475494,2.478894552,11.82874509,56.17306034,51.98522312,0.07020134,0.069575181,3364.859007,3359.908301,9.65602802,9.618061191,3.961035244,4.057174048
Biguaçu,4,181.214404,365.755,49.54529781,739,12.07,27639.57,84.8,47.75,3299.19875,0.067774264,4.888879164,6.961118145,49.66775123,47.58880973,0.075857086,0.077625517,3341.604649,3471.3099,7.107404086,7.587353996,4.879242247,5.14911378
Blumenau,4,351.6219966,518.619,67.79967503,806,10.86,48115.48,91.6,67.75,4398.317175,0.070319385,3.986244134,9.152145083,67.88967222,61.60744697,0.07829226,0.080632753,3963.011762,3927.024123,9.065198835,9.27910255,4.595482169,4.656986988
Bocaina do Sul,2,332.9803261,510.673,65.20421602,647,18.87,22504.33,32.1,14.5,1443.42705,0.018419232,2.979947011,11.82454474,23.2384033,35.95297378,0.047502349,0.055533394,2032.180029,2558.714858,11.22214233,11.51629922,2.910781595,2.98011428
Bom Jardim da Serra,2,291.6903155,938.516,31.07995128,696,20.83,21180.5,42.2,9,1061.22695,0.006113628,3.493841697,24.71347191,21.25833165,23.03454904,0.008055119,0.013148287,1777.026591,1868.716347,22.62458105,22.96161234,3.710492558,3.740288905
Bom Retiro,5,714.3982983,1057.034,67.58517685,699,19.23,27619.92,77.7,32.2,2408.77772,0.059275563,5.000613544,25.32621075,35.28837539,40.93800016,0.055563048,0.062272135,2717.881503,2939.76183,27.2596857,27.28459527,8.081053173,8.402509115
Botuverá,5,259.2881373,296.256,87.52164928,724,16.95,62153.04,41.5,78.8,4600.1203,0.083630579,6.039037459,9.391892262,70.9473721,64.40049095,0.078476172,0.083805426,4128.105031,4115.913066,6.597496582,6.644949108,6.270366837,6.3130374
Brunópolis,2,68.06173744,336.439,20.23003797,661,35.71,32851.48,39.4,16,1627.49795,0.03039343,2.695570436,18.06899767,26.06554296,27.4250129,0.066538598,0.067671177,2257.670579,2307.491769,18.22818667,17.49670096,2.540216115,2.390020857
Brusque,1,192.2632909,284.675,67.53782065,795,11.41,48408.17,89,44,3380.4648,0.079988215,3.730857822,8.421028287,46.27996564,42.98526381,0.080919883,0.079292849,3280.712207,3259.016876,8.755490585,8.925402844,3.813626782,3.9475572
Caçador,3,393.7730283,983.424,40.04102282,735,12.17,42367.59,70.9,29.66666667,2329.8452,0.055905801,11.45147883,16.25656157,26.6153575,28.60202972,0.075827017,0.078399421,2531.154496,2560.382283,17.79677057,17.40764181,3.636631535,3.6414289
Caibi,1,35.02450552,173.079,20.23613813,728,14.49,33662.83,22.8,35,2859.8184,0.081016366,2.908316587,5.433616314,32.88640763,38.14169534,0.098815516,0.076244597,2601.651635,2250.970252,4.860878111,4.188344746,2.739974568,2.669745852
Calmon,1,257.5526648,636.208,40.48246247,622,44.12,20889.18,64.5,33,2767.0162,0.035210968,3.935429861,6.722751323,32.60512088,32.35005459,0.074132055,0.073079992,2765.246359,2734.277601,6.728619849,6.620694941,3.515500329,3.42252658
Camboriú,3,140.4225592,210.568,66.6875115,726,11.99,18570.55,89.2,65,4239.740033,0.074506636,4.580297442,11.61936042,57.13438506,54.12087193,0.087891958,0.09163514,4147.879864,4078.385413,13.07320973,13.38240947,4.473284548,4.638129704
Campo Alegre,2,268.0658007,499.216,53.69735759,714,13.7,41005.32,90,26.5,2103.8134,0.038659525,2.893474839,2.216202676,47.17803386,47.19454058,0.059936049,0.066946735,3173.414994,3215.435482,8.459544674,8.471647341,3.681785563,3.783780235
Campo Belo do Sul,4,293.0371131,1025.638,28.57120281,641,8.7,32221.86,66,33.75,2565.05325,0.07848647,2.449089615,25.34931892,33.95011264,33.78425917,0.074849924,0.073074842,2649.333181,2658.252183,22.01885559,21.09743116,2.409698881,2.356681628
Campos Novos,5,488.6290868,1717.697,28.44675672,742,5.88,54233.53,71.1,34.2,2530.08806,0.103665231,2.500531501,5.12897936,34.33883785,34.80571779,0.089612039,0.082101706,2456.1978,2469.728139,5.005393233,4.671315034,2.523608731,2.491165733
Canelinha,1,79.41859751,151.008,52.59231134,697,8.47,15724.49,47.8,52,4227.1627,0.099789529,4.710524163,13.8926489,57.56188437,59.61164892,0.090424054,0.095571766,4070.784964,4075.380243,17.91329453,18.13950814,4.611307787,4.651511585
Canoinhas,6,388.5223796,1148.036,33.8423516,757,8.83,31334.28,61.5,28,2293.250867,0.04791687,4.59280928,3.455857489,32.197944,35.32157388,0.065891813,0.069397198,2553.967779,2686.874655,3.447794921,3.456583118,4.889147559,5.044313339
Capão Alto,4,426.5083111,1331.962,32.02105699,654,45.45,46324.02,37.7,40.25,3212.6226,0.07304968,2.61105004,21.53897195,36.85355995,34.42198147,0.062284134,0.063142231,2621.739609,2510.824155,23.31780081,22.5802745,2.600571231,2.567838819
Capinzal,4,64.98993813,244.057,26.62899983,752,15.38,36806.58,62.4,31,2327.16515,0.093154619,2.254995518,3.616232601,34.24403162,37.05473348,0.094595859,0.09012871,2530.009889,2556.018639,4.970707388,4.642704382,2.340192466,2.343738233
Catanduvas,1,96.87244087,199.166,48.63904525,714,10.7,37883.59,67.6,15,1424.8417,0.026527784,2.485740767,2.49322889,19.97892162,22.23672677,0.066617711,0.065415391,1972.600883,2146.386023,4.12153385,4.061934888,2.312117406,2.32594531
Caxambu do Sul,1,29.83736501,140.873,21.1803291,691,35.09,31933.56,14,9,1048.6827,0.000162886,2.773974762,6.515681684,33.40942989,35.69950089,0.066550623,0.074646143,1755.532828,2027.545781,7.413187864,6.993811396,3.038587287,2.847255163
Celso Ramos,4,86.88465512,208.391,41.69309381,719,29.41,20150.34,34.7,31,2493.80915,0.094736134,2.242600616,5.667721053,30.61864885,34.10450897,0.101337064,0.092713009,2592.008314,2633.664267,3.486863516,2.591978377,2.341778101,2.226527752
Cerro Negro,2,135.0947919,418.544,32.27732136,621,27.78,25463.28,27.2,35.5,2937.82495,0.096854116,2.288763961,10.4403009,31.39686277,33.03981732,0.084601953,0.089080607,2817.102208,2788.853574,12.14049209,11.33225763,2.353324192,2.271203717
Chapadão do Lageado,1,63.54705649,124.866,50.89220163,704,23.26,28031.04,54,51,3423.1742,0.095607525,8.951843694,9.872850619,50.05008086,47.23180699,0.08850601,0.086637775,3419.037694,3325.128082,10.30178072,10.69044256,9.50958512,9.546542923
Chapecó,4,208.0667828,624.846,33.29889009,790,11.09,44321.07,61.8,45.75,3432.137575,0.09050193,2.458792083,3.40019143,38.06534807,38.43153075,0.086967664,0.08257212,2998.054791,2668.334519,4.693046355,4.537248174,2.403382983,2.301084278
Cocal do Sul,1,26.51893539,70.965,37.36903458,780,14.85,39615.6,69.3,44,3155.692,0.118449545,4.703740919,7.34899684,45.09619916,43.65010449,0.09046528,0.093325256,3573.528412,3649.776142,7.924713829,8.118010877,4.789426772,4.931665026
Concórdia,10,343.2067092,799.194,42.94410484,800,11.5,45197.17,79.1,32.7,2592.58733,0.097678269,2.489455273,4.028696316,33.58852668,35.61344186,0.09537374,0.095145404,2580.660055,2665.892442,3.21390945,2.995216086,2.417079201,2.369876812
Coronel Freitas,1,42.01109199,233.698,17.97665876,744,27.52,26940.52,54.6,37,3014.1502,0.117929818,3.016440829,6.55921653,38.85621266,39.92410891,0.089064418,0.087319475,2662.276109,2428.221406,6.468348655,5.505237196,2.438543633,2.38748419
Correia Pinto,1,173.2872803,647.388,26.76714432,702,9.22,44370.99,68.9,12,1484.9109,0.002925352,2.468807422,20.6512099,33.41691131,35.13386398,0.040586492,0.03709996,1789.114822,1940.052776,19.04562967,18.55099713,2.402504346,2.237942485
Corupá,2,312.4186801,405.761,76.9957389,780,10.99,28160.26,75.5,63.5,4294.626,0.067289983,3.878245744,11.91139132,60.80163021,57.86568034,0.086507586,0.087926741,3859.678312,3658.031836,8.76865477,8.843123049,3.96536366,4.326596806
Criciúma,1,50.48181097,234.865,21.49396929,788,8.71,36073.31,91.7,44,3304.3672,0.106764072,4.480114401,7.383268691,43.72578429,42.67266155,0.089658846,0.089422697,3382.52053,3391.638522,7.643287585,7.816027623,5.788365131,5.934371649
Curitibanos,5,302.4645692,949.865,31.84290075,721,11.33,35989.53,65.5,43.8,3319.8643,0.075638287,3.939419823,17.54706562,36.70797365,32.89673201,0.069670313,0.066175637,2688.990416,2552.631729,17.16519779,16.51189759,2.504952104,2.214641685
Descanso,1,60.27817279,287.057,20.99867719,743,39.6,26100.95,13.2,20,1970.1703,0.096321613,2.852134605,6.208311326,35.95451892,38.53595182,0.081239122,0.083165816,2065.803993,2325.304076,7.279639183,7.962126531,2.456592289,2.398661937
Dionísio Cerqueira,1,67.1985564,378.843,17.73783768,706,9.48,25541.91,41.2,32,2932.8329,0.100204264,2.624508071,5.784884809,31.70232608,36.46063893,0.090468472,0.082118974,2877.664813,2834.025908,5.732273874,4.59194521,2.443007506,2.542876284
Dona Emma,1,76.36151562,178.157,42.8619227,742,72.73,27871.79,59,19,1791.4708,0.043717692,6.523961299,10.33063127,49.34704999,48.95937349,0.078863471,0.079154611,2665.162748,2942.871982,13.23157548,13.22281338,6.75620975,6.55154536
Doutor Pedrinho,3,288.5437417,374.205,77.10846774,716,31.25,28437.93,61.2,56,3593.5236,0.086397609,3.371921924,1.877612146,51.90488397,50.37796952,0.076048344,0.074673846,3424.780732,3349.344505,3.181916397,3.188579962,3.71400536,3.849645897
Erval Velho,1,64.24513833,208.841,30.76270384,723,29.41,31785.85,59.2,46,3764.4909,0.114978729,2.613882658,3.73076398,40.27820352,37.30191339,0.091559211,0.088590458,2759.418217,2771.263427,4.699504216,4.600323647,2.663836275,2.649038691
Faxinal dos Guedes,1,92.14038388,340.07,27.09453462,758,12.2,41236.16,69.8,36,3061.8443,0.107660084,2.294223143,3.245143989,39.03076636,40.00440146,0.074118957,0.063562109,1607.729779,1574.401305,4.308372377,3.368246716,2.130800134,2.147688217
Florianópolis,1,247.4475178,674.844,36.66736576,847,7.71,42719.16,87.8,35,2697.3474,0.113134996,3.238526815,11.97675397,45.3222814,45.48851157,0.093287444,0.096210957,3352.718007,3692.413205,11.4790879,12.4542742,3.634498126,4.071402937
Fraiburgo,1,150.4732526,549.188,27.39922442,731,13.57,25498.89,70,7,490.5739,3.45E-11,4.412682701,34.67744615,17.4138971,21.09280254,0.070940334,0.068996775,1602.332529,1874.39039,26.53429448,26.1064753,3.80939682,3.529974029
Garopaba,1,48.15940394,114.773,41.96056907,753,9.46,25916.45,46,52,3551.8703,0.122661915,4.136566915,6.987234043,53.10885911,52.66194217,0.102807727,0.102036996,3858.679874,3961.312502,6.461410916,7.025152601,4.132302707,4.279036938
Garuva,3,359.5255505,503.595,71.39180304,725,6.83,60183.18,58.5,67.33333333,4094.5402,0.072292683,3.757522401,9.15351422,64.19316188,59.24762861,0.069293625,0.07075189,3595.4167,3524.872607,9.262731936,9.508214975,4.987314032,5.204771625
Gaspar,2,223.2433344,386.616,57.74291142,765,4.42,43487.46,87.3,61.5,3870.51325,0.07315531,4.409215884,8.59966216,60.98854356,54.99012768,0.08368099,0.084606217,4016.34742,3893.606832,5.41542344,5.624963869,4.136933379,4.216879454
Grão Pará,2,174.4567589,334.362,52.1760125,736,41.1,33450.95,67.2,34.5,2368.7011,0.045056004,9.7736439,4.96057098,57.77362267,54.69603363,0.088973138,0.091860195,3240.818269,3459.178469,4.28426919,4.314751951,8.887548407,8.070830478
Guabiruba,1,141.9057946,172.173,82.42046928,754,13.25,41994.87,93,69,4565.4816,0.058940928,3.417769496,5.904378002,61.18105283,60.92827615,0.083650706,0.078207596,4290.387303,3942.432193,3.440271387,3.553274644,4.722849198,4.7738331
Guatambú,1,78.11349417,206.196,37.88312779,717,10.31,48042.51,14,44,3067.9816,0.086855739,2.292410101,3.381244537,38.9295111,38.42170637,0.08851466,0.08699539,2721.035306,2718.934342,5.37179786,5.246093464,2.336997552,2.374646389
Herval d'Oeste,2,101.2320226,216.581,46.74095263,758,12.5,21180.37,89.7,31,2290.1088,0.104563941,2.63286649,4.422201659,33.68349822,37.05599468,0.102353408,0.098617331,2797.494312,2839.832823,4.113494913,3.936937367,2.778303443,2.76254722
Ibiam,1,64.11559098,146.009,43.91208143,725,43.48,27289.33,45.9,29,2265.7887,0.105937934,2.870732293,14.2668306,35.49018802,32.26796269,0.105211453,0.098758231,2624.098599,2691.630022,10.36040749,9.830760486,2.864708507,2.858283735
Ibicaré,2,82.54798062,156.439,52.76688078,708,27.03,30855.75,70.5,33,2749.88685,0.097537183,2.563864736,4.148654108,33.68731824,35.21696044,0.097226064,0.09460928,2690.727381,2778.675125,3.940785617,3.866832915,2.752286631,2.761114669
Ibirama,2,165.1782156,247.102,66.84616702,737,16.46,23619.6,92.5,39,2766.45775,0.060162876,7.099493749,11.79451105,57.79415422,60.36589932,0.080833085,0.081250769,3520.058123,3559.362634,10.26467901,10.37797578,7.047029405,7.07165104
Ilhota,1,111.6496528,253.024,44.12611169,738,11.9,50605.82,53.9,80,4704.1366,0.078078879,4.254757484,11.97673329,55.52245549,53.0535095,0.090646553,0.088995704,3837.796631,3839.12411,13.20028585,13.66788101,4.650232118,4.800231565
Imaruí,1,242.6168655,542.238,44.74361175,667,18.02,19014.64,70.3,66,4620.3523,0.055694528,4.64491029,10.95685782,64.11848085,60.17818203,0.066757384,0.079752059,4252.066624,4190.53106,11.94857663,12.2325082,4.704342852,4.769129837
Indaial,2,328.7929563,430.799,76.32166192,777,4.14,38127.84,88.3,78,4387.0288,0.062110775,5.33387742,6.048151062,67.46423432,62.29697723,0.07654074,0.078891832,4058.090335,3882.623038,11.02004693,11.19690597,4.845895917,4.922458449
Ipira,2,63.6253419,155.651,40.87692459,736,20.41,18877.63,62.1,23.5,1962.05215,0.074486364,2.162744117,4.211985019,29.45820152,36.57202413,0.097878816,0.091058886,2819.342993,2791.202507,4.321521442,3.67928389,2.458431205,2.442001873
Iporã do Oeste,2,63.67008284,200.96,31.68296319,759,11.11,28456.21,32.3,22.5,2133.5892,0.067936723,2.879669138,4.789765236,34.27954192,36.0944904,0.080574756,0.079949635,2206.202524,2207.095829,5.050551122,5.007504992,2.518214788,2.535242349
Ipuaçu,1,47.9404122,261.081,18.36227538,660,18.18,29965.83,8.3,51,3394.3335,0.109806283,2.318755691,3.712454632,43.50770491,40.94527457,0.077372677,0.067754164,1864.424338,1747.950627,3.564734695,2.933272144,2.006503398,1.979225004
Ipumirim,1,106.9116449,245.921,43.47397939,738,44.64,43914.19,64,47,3124.8884,0.093495968,2.460513143,2.186466586,42.56237375,41.64330373,0.079547477,0.070896411,2627.885764,2441.761074,4.977979783,4.053173142,2.531478402,2.546412586
Irani,1,162.8486919,325.862,49.97474143,742,8.55,23059.27,47.4,34,2431.4907,0.094332479,2.308905178,2.719537257,34.42054693,37.12170496,0.056934989,0.057303694,2165.342218,2330.986041,1.853018091,1.72018173,2.087967857,2.103441798
Irineópolis,1,215.7303752,589.698,36.58319601,699,6.9,31142.72,46.6,45,3143.5859,0.128947755,5.064225791,4.457023706,40.40010739,38.73491367,0.09813233,0.095984403,3024.172768,2976.495101,2.618311717,2.548278054,5.051655379,5.054050296
Itá,1,65.0281957,166.265,39.11117535,771,16.67,42687.35,65.7,44,3047.6192,0.083827658,2.687384699,3.269833379,38.58180087,33.0663317,0.102984126,0.123084853,2987.947592,2891.734348,4.527439775,5.667914835,2.645629862,2.717187446
Itaiópolis,7,652.2123085,1297.543,50.26517876,708,13.65,34769.15,49.1,41.85714286,2919.327629,0.074070317,4.543777037,9.789219313,39.70541613,40.88793124,0.074125999,0.075503882,2858.557978,2980.368036,9.95089756,9.911974652,4.396826189,4.538054524
Itajaí,1,110.3550465,289.215,38.15675068,795,7.5,117712,88.6,39,2850.5746,0.084049435,6.267088901,14.742802,47.9239946,44.01978737,0.084381969,0.085653432,3258.50836,3292.640387,13.0009657,13.38353018,4.560245359,4.745295825
Itapema,1,36.78300927,58.21,63.19018943,796,16.06,29597.1,86.6,37,2804.7271,0.121936209,4.863184895,7.455494593,48.79653565,49.12074786,0.089614452,0.089092939,3171.485469,3223.656207,8.033884378,8.380215683,4.493248196,4.771220403
Itapiranga,3,92.45563189,281.782,32.81104964,775,9.62,46220.97,58.4,27.66666667,2250.144567,0.063228252,2.938676131,5.338269614,27.59927625,33.11069862,0.081004939,0.080743789,2203.89457,2298.331916,3.816360893,4.297155806,2.783374837,3.250352567
Itapoá,2,189.0595723,245.394,77.04327422,761,7.58,39735.17,89.6,78,4530.7635,0.063783876,3.702909399,7.862530722,67.29948958,62.03422799,0.05175254,0.053317451,3638.400021,3619.318518,7.962845924,8.510287814,3.494780778,3.674768882
Ituporanga,3,122.7860419,336.588,36.47962551,748,10.55,37632.2,80.7,57,3765.432533,0.091554378,9.530327993,9.072866631,55.98647096,54.37475918,0.065110785,0.069861897,3416.149131,3384.656016,6.593868463,6.745730078,9.199714032,9.323188108
Jaborá,1,84.54664366,182.483,46.33124382,732,46.51,32091.41,42.4,25,1787.7816,0.083942257,2.491289135,3.608932491,26.11186237,28.73306655,0.084079725,0.083001133,2468.768514,2544.659998,1.891269507,1.981286902,2.206999306,2.220062505
Jacinto Machado,3,203.1534003,430.704,47.16775332,716,23.26,31700.91,83,64,4064.452267,0.100637914,4.485385164,5.286610065,63.39227228,59.84288172,0.091715801,0.094542498,3754.790568,3742.907247,6.073164513,6.451140987,4.138920808,4.343472556
Jaraguá do Sul,4,362.6253227,530.894,68.30465643,803,9.09,51652.44,87.6,55.25,3753.279425,0.098425321,5.731269622,9.829172147,60.13659438,58.22958141,0.087937244,0.089545033,3822.1842,3856.052862,10.03374933,10.30060328,4.880719737,4.929855921
Joaçaba,2,115.9488163,241.637,47.98471107,827,5.85,64675.09,84.4,35.5,2743.7393,0.101286529,2.685231755,3.173396554,34.1513812,34.09523,0.094249908,0.095316096,2600.858182,2666.945631,2.324348347,2.284142871,2.34866723,2.354087962
Joinville,9,732.213271,1127.946,64.91563169,809,8.78,52792.59,74.9,61.66666667,3775.970178,0.076225517,4.98997057,9.088429737,59.39801859,57.55988862,0.075379512,0.076870146,3742.624506,3727.919876,8.186337564,8.456930768,4.813964113,4.952405296
José Boiteux,3,309.3433122,405.552,76.27710188,694,9.8,20508.4,79.6,58,3556.557,0.087985336,9.442235228,5.574533781,58.07343516,58.61713694,0.080786776,0.081783336,3551.539334,3555.696345,5.468068036,5.500267828,9.113600391,9.067325823
Jupiá,1,12.1798421,91.448,13.31887203,719,34.48,26913.91,2.6,19,1661.4009,0.087042681,2.306551108,5.636517227,23.61979896,28.27482158,0.090358621,0.076076969,2629.427203,2513.922492,6.239696964,5.466032708,2.309220015,2.35665676
Lages,4,528.6353613,2637.66,20.04183107,770,11.24,32355.43,84.9,31.75,2692.129075,0.071923563,2.808392381,21.86172425,34.73196837,36.99804046,0.059780036,0.059810737,2441.949046,2574.167964,24.18431663,23.86317841,2.97625394,2.878833368
Lauro Müller,1,144.7095621,271.852,53.23100882,735,6.02,24646.56,72.4,49,3629.7885,0.129934082,6.884321509,7.080857323,51.99021738,49.42523748,0.087127807,0.086627097,3387.666977,3452.052088,9.152897849,9.147888806,6.625179549,6.596494206
Lebon Régis,4,363.9677378,941.64,38.65253577,649,36.14,20402.4,49.1,35,2844.598025,0.057935504,6.656868747,30.44853268,34.89598291,31.55969566,0.065582131,0.062907373,2656.048194,2548.010366,26.13719052,26.31306991,5.366756408,5.135611031
Leoberto Leal,4,206.0200017,293.6,70.17030032,686,25.64,30480.78,41.2,49.75,3387.04405,0.099344441,9.293081437,10.35381251,51.18331143,53.15999056,0.067116989,0.071562399,3344.686687,3502.339962,11.37290542,11.3888912,9.725190352,9.929968673
Luzerna,1,57.29541005,117.099,48.92903445,789,16.67,30042.54,82,52,3445.4997,0.114554813,2.577963338,2.473768831,47.25431717,45.48985934,0.108183692,0.1053077,3076.479057,2993.280304,2.470676634,2.27900017,2.576113944,2.555615828
Macieira,1,133.6097638,261.208,51.15071658,662,100,27298.74,30.5,39,3003.1542,0.064606185,5.256903777,21.20064447,35.3307979,34.35147796,0.084358682,0.08312985,2751.846226,2685.226741,20.8415744,20.34175488,4.171572673,3.973929396
Mafra,5,492.9100609,1404.084,35.10545387,777,7.12,34993.36,74.9,35,2756.3325,0.05854694,3.455227108,8.533909653,31.77806329,32.70999815,0.064398996,0.064343756,2759.560711,2727.854527,12.71109931,12.56544497,3.804673722,3.957455534
